abuse
accident
accuse
allegations
alleged
assault
chemical 
child labour
compensation
construction
corruption
court
died
discrimination
environmental issue
explosion
factory
fire
forced labour
gender discrimination
guilty
harassment
health safety
health violation
human rights
human trafficking
illegal
injured
investigation
killed
labour exploitation
labour reforms
labour rights
lawsuit
migrant workers
miners
mining
officials
police
pollution
racial abuse
rights abuse
rights violation
risk
safety
safety issue
safety violation
sexual abuse
sexual assault
sexual harassment
slavery
trapped
union
unsafe working
verbal abuse
violation 
work accident
worker rights
working conditions
